sid,text,true_speaker,all_names,is_self_intro,self_intro_name,
398145,"So this is for issue six, the recommendation is approve as budgeted. Weber? Aye. Jones-Sawyer? Aye. Lackey? No. Melendez, Stone? Aye. That's out 3-1.",Committee Secretary,Weber | Jones-Sawyer | Lackey | Melendez | Stone,0,,
467598,"Thank you, Mr. Speaker and members. AB 1538 is up for a concurrence. It was amended to add an urgency clause. This is a district bill and has no opposition. I respectfully ask for your aye vote.",Rob Bonta,,0,,
330597,"And then the other question I want to ask you, so there's been some concerns about pediatric dental work under sedation. The Dental Board has been looking at the issue. There's some recommendations that are out there. I know there's also a bill and so forth. But I am here in Sacramento. I know that in the work with Sacramento and trying to get access to care for children who require sedation, as well as other people's special needs, we've had real problems with access, particularly to facilities which also didn't have anesthesiologists, so hospitals, etc. The general push from the Department has been, okay, county, let's work together with the local and try to get more of this stuff done in offices, right? So that we don't have to, because we're having a real challenge with payments and other things, payment levels, to get we still only have, I think, one hospital that's still willing to do that. We now have the Dental Board essentially going the other way, saying from a quality care's perspective, we need to, although they're not specifying it has to be in certain types of facilities, it is about having more equipment and anesthesia personnel. I'm concerned about, one of the big concerns is access to care, right? So we have the Dental Board pushing one direction and saying that this is the standard that we're pushing toward, and we have a Denti-Cal program that says, well, actually, what we want to try to do is something different from a payment perspective, how we're going to resolve that. So has that something that the Department has looked at? Because fundamentally, it becomes an access issue, right? If the Dental Board says this is the standard of care, and this is what we're going to hold people's licenses to- Dentists are going to say okay, but now I can't get and, so how can we assure that, I mean, the patients get caught in the middle? So has that been something that the Department has been looking at? And if yes, where are you on that? And if no, tell me you're going to get on it right now.",Richard Pan,,0,,
570175,"Madam Chair and Members, Lexi Howard on behalf of the California Judge's Association. We appreciate Senator Hueso's effort in this area. We are supportive of efforts to give access to justice through language access. We understand the people who can't participate in the justice process because of language barriers are denied access and were sympathetic.  We want to move this from a tier eight in the interpreter sort of hierarchy, to something that gets more practical results. We recognize it's not perfect, we're trying to move in the right direction to increase access, and with that, we'd respectfully ask for your aye vote.",Alexa Howard,Lexi Howard,1,Lexi Howard,
422022,"Absolutely, themre is nothing in the bill to prevent immediate action to protect other children. Obviously, safety is our number one priority, but my concern, I am committing to speaking to them. But my concern is that our children of color are being expelled at a higher rate than every other child. And so, again, the bill does not prevent anybody from taking immediate action to protect all the children. But I absolutely would love to sit down and talk, I think we've been working well with other interested parties, I think this is the first time that they've come up, they didn't come up in our Assembly section but I would love to sit down and talk.",Blanca Rubio,,0,,
354479,"Thank you Mr. Chairman and thank you member Quirk-Silva for bringing this forward. I was a co-author of very, very similar bill last year and I first ask if you would accept my name as co-author as well? I'll be honored to get to do that with you. And also just a couple of points on this, though, is I agree with you that it will be important for us to partner with both UC and CSU for additional funding. I've done that in the two years that I've been up here. But we also, since UC's representatives give a message to the committee, I have a message to UC which is, there are millions of dollars in savings that need to happen too. It's not just increasing funding, it's making sure that you implement, as the State Auditor found out, the working smarter program, even that your travel policy, if you implemented it state-wide, you'd save $9 million, system wide. I'm thinking of the $270 that's someone's budget for food for a month, or books for classes they want to take. And the reason why a tuition freeze is so important is not only because it will maintain, better maintain the affordability, it's already difficult for CSU, and UC, but because I think you need that constraint on you, to really dive down more into the cost savings. We should be partners with UC, as well as CSU, which has made a little but more progress in this area, but still has a way to go. But I think you need that constraint. Again, not only for the affordability and accessibility for students, but there are millions and millions of dollars annually that need to be from where UC needs to get its spending more aligned. And so I thank the author for bringing this forward, a very good idea from last year. I appreciate an opportunity to co-author it. I just caution us that it's not just this is okay as long as we send more many to UC. I think we send more money to UC as long as they make the changes they need to make to their admissions policies, as well as their spending policies so that we can truly be partners instead of just going for the status quo. So that was a little bit of a lecture, you're welcome to comment on it, but thank you.",Catharine Baker,Quirk-Silva,0,,
389118,"Mr. Chair, members, Michael Lane with the Nonprofit Housing Association in Northern California. And among our members are some of the oldest, most successful and productive developers of affordable housing in the nation. And these buildings take advantage of the welfare exemptions been in place over the last three decades is a key component of how we actually finance affordable housing. These building do not create a lot of net operating income. They're not able to pay a large tax bill, so it does create a hardship, through no fault of their own, when some families do have higher income and they receive that tax bill. AB 1193 would simply align the state code around this with the Internal Revenue code at the federal level with respect to tax credits. And it doesn't result in any lost revenues. Because at the time the Board of Equalization approves this welfare exemption and a local jurisdiction approves the project, everyone going in knows that those property tax will not be available or paid. And so there's no loss of revenue here. It's just to make sure that the building owner isn't hit with a large property tax bill without sufficient rents to be able to pay that. Again, we urge your aye vote on this bill. Thank you very much.",Michael Lane,Michael Lane,1,Michael Lane,
540160,"Thank you very much, Mr. Chair, and proceed when you are ready.",Brian Maienschein,,0,,
352617,"Mister chair and members Sarah Flocks of the California Labor Federation we're also in support. Our trust funds are Taft Hartley funds purchase health benefits for our 2 million members and a majority of them have contracts with PBMs to provide prescription drug services. So, I'm here to answer any questions of the nature of those contracts, and the need for increased transparency on PBMs.",Sarah Flocks,Sarah Flocks,1,Sarah Flocks,
410565,"Thank you, Mr. Speaker and members. Members, I've been a public school teacher for over 30 years. And throughout those years, I know many of my colleagues go to work each morning trying to make sure they make the difference that they can in the lives of the children they educate. And over the years, I've not only seen teachers retire, but I've also seen young teachers leave the profession, many of them frustrated by the demands that have been put on them. Some feeling not supported by parents. Some feeling not supported by administrators. But I struggle today as I stand here and look at Mrs. Weber who I have some much respect for and have heard every time she speaks I stop and listen because I know that her heart's in the right place. But as a long time CTA member, I also struggle to go against an organization that I am a part of, for many many years, over 30 years. But I believe this is a bill at the right time that sends the message throughout California that we are here to do what`s best for children. And adding the additional year may seem like a enormous amount of time, but I first hand have seen teachers dismissed at 18 months, not even two years, 18 months because they need to be notified because superintendents and administrators have said we will only give permanent status to teachers who are 10 plus. Now most of us in train a professional not a 10 plus within our first year, and if we really know anything about professions we know we evolve and we continue to learn. Not only within a year, but over decades. So this year I have also heard administrators say to me, this could really make a difference. So, I stand again, which I know there will be some possible teachers and the California Teachers Association who is going to be disappointed, but I believe it's the right bill at the right time, and I am proud to support my colleague, Shirley Weber, for AB 1220.",Sharon Quirk-Silva,Shirley Weber,0,,
